@relation 'P1Mario-data-training-T3Original-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-4,10-13,19-22,28-30,37-40,45-48,54-57,63-66,72-75-weka.filters.unsupervised.attribute.Remove-R1-10-weka.filters.unsupervised.attribute.Remove-R26-35-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R2,5-7-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R8-10-weka.filters.unsupervised.attribute.Remove-R9-12-weka.filters.unsupervised.attribute.Remove-R8'

@attribute MergedObs[7][9] {-85,-62,-60,-24,0,1,2,3,5,25,80,93}
@attribute MergedObs[8][9] {-85,-62,-60,-24,0,1,2,3,5,25,80,93}
@attribute MergedObs[8][10] {-85,-62,-60,-24,0,1,2,3,5,25,80,93}
@attribute MergedObs[9][10] {-85,-62,-60,-24,0,1,2,3,5,25,80,93}
@attribute MergedObs[9][11] {-85,-62,-60,-24,0,1,2,3,5,25,80,93}
@attribute MergedObs[10][9] {-85,-62,-60,-24,0,1,2,3,5,25,80,93}
@attribute MergedObs[10][10] {-85,-62,-60,-24,0,1,2,3,5,25,80,93}
@attribute action {move_jump,move,jump,still}

@data
0,0,0,-24,-24,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,0,-24,0,move
0,0,0,1,0,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move
0,0,2,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
0,0,2,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,1,2,-60,-24,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,2,0,-24,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move
0,0,0,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,1,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,1,-60,-60,-60,move_jump
0,0,-24,-60,-60,-60,-60,move
0,0,-24,-60,-60,-60,-60,move_jump
0,0,-24,-60,-60,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move
0,0,0,-85,-85,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,0,-24,1,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,0,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,0,-60,move_jump
0,0,0,-24,-24,0,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
1,0,-60,-60,-60,-60,-60,move
0,1,-60,-60,-60,-60,-60,move_jump
0,1,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,-24,-60,-60,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
-24,0,0,0,0,-24,-60,move
-24,0,0,-24,0,-24,-60,move_jump
-24,0,0,-24,0,-24,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
-60,0,0,0,0,0,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,1,1,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,2,-24,-24,-60,-60,move_jump
0,0,0,0,1,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,-85,-60,-60,move
0,2,2,2,1,-24,-24,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,0,-24,0,move
0,0,0,0,1,-60,1,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
-24,0,2,2,2,-24,-24,move
2,2,0,-24,1,-60,-60,move_jump
2,0,2,-24,0,-60,-60,move
2,0,2,-24,0,-60,-60,move_jump
2,0,2,-24,0,-60,-60,move_jump
0,0,0,0,0,-24,0,move
0,0,0,0,0,-60,-60,move
0,0,2,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,2,2,2,1,-24,1,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,0,-24,0,move
2,0,2,-24,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,0,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,1,0,-85,-85,0,-85,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,0,-24,0,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,-24,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move
0,0,2,-24,-24,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
2,0,2,1,-24,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-24,-60,-60,-60,-60,move_jump
0,0,-24,-60,-60,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
0,0,0,1,-85,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,1,-24,0,move
0,0,2,2,1,-24,0,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
2,0,0,-24,1,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move
0,0,2,-24,-24,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,-24,0,-60,-60,move
0,0,2,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
-60,0,0,0,0,0,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,2,2,1,-24,0,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,2,2,1,-24,-24,move_jump
0,0,0,-85,-85,-60,-60,move
0,0,0,-85,-85,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-24,-60,move
0,0,0,-60,-60,-24,-60,move_jump
0,0,0,-60,-60,-24,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,1,2,-60,-24,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,0,-60,-60,move
0,0,2,2,1,-24,-24,move_jump
0,0,-60,-60,-60,-24,-60,move_jump
0,0,-60,-60,-60,-24,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,0,0,-60,-60,move
0,0,0,-62,0,0,0,move_jump
0,0,0,-62,0,0,0,move_jump
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,-24,-60,-60,move
0,0,0,1,-60,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
0,0,0,0,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,1,0,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,2,0,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-62,0,0,0,move
0,0,0,1,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
-60,0,0,0,0,0,-60,move
0,0,0,0,0,-60,-60,move
0,0,-60,-60,-60,0,-60,move_jump
0,0,2,-24,-24,-60,-60,move_jump
0,0,0,0,1,-60,-60,move_jump
0,0,2,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,1,0,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-24,-24,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move
0,0,0,-85,-85,-60,-60,move_jump
0,0,0,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,1,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-62,0,0,0,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,1,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,-24,-60,-60,move
0,0,2,2,1,-24,0,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,0,1,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,-24,1,-60,-60,move_jump
0,0,2,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,-24,-24,0,0,move_jump
-24,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,1,1,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
1,0,-85,-85,-85,-60,-60,move_jump
1,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,0,0,1,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move
0,0,-85,-85,-85,-60,-60,move_jump
0,0,-85,-85,-85,-60,-60,move_jump
0,0,0,0,0,-85,-85,move
0,0,2,2,1,0,1,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
2,0,0,-24,-24,-60,-60,move
2,0,0,-24,-24,-60,-60,move_jump
2,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
0,2,2,2,1,-24,-24,move_jump
0,0,-60,-60,-60,-60,-60,move
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,1,0,-60,-60,move_jump
2,0,0,-24,-24,-60,-60,move
2,0,0,-24,-24,-60,-60,move_jump
2,0,0,-24,-24,-60,-60,move_jump
-24,0,2,2,0,-24,-24,move
0,0,0,0,0,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,-60,-60,-60,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,2,2,1,-24,-24,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,0,-24,-24,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,0,-24,0,move
0,0,0,-24,1,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,2,2,2,-24,0,move
0,0,0,1,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,0,0,-60,-60,move
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move
0,0,0,-24,0,-60,-60,move_jump
0,0,0,-24,0,-60,-60,move_jump
0,0,0,0,0,-24,0,move
0,0,0,0,1,-24,-24,move_jump
0,0,0,-60,-60,-60,-60,move
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,-60,-60,-60,-60,move_jump
0,0,0,0,-85,-60,-60,move
0,0,0,0,1,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move
0,0,0,-24,-24,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,2,2,-24,-24,move
0,0,2,1,2,-24,-24,move_jump
0,0,0,0,0,-60,-60,move
0,0,2,-24,-24,-60,-60,move_jump
0,0,0,1,0,-60,-60,move_jump
0,0,0,-24,-24,-60,-60,move_jump
0,0,2,-24,-24,-60,-60,move
